Results for McCormick
     1 School_Board_At_Large               W/I_LUKE_SEIGLER                   
     1 School_Board_At_Large               W/I_TOYE_LANGLEY                   
     1 School_Board_At_Large               W/I_TOYE_WILLIS                    

  2276 Secretary_of_State                  Mark_Hammond                       
  1929 Secretary_of_State                  Melvin_T_Whittenburg               

  1951 Soil_and_Water_District_Commissioner Edward_Deason                      
  1559 Soil_and_Water_District_Commissioner Phyllis_Albert                     
     1 Soil_and_Water_District_Commissioner W/I                                
     1 Soil_and_Water_District_Commissioner W/I_>                              
     1 Soil_and_Water_District_Commissioner W/I_>HER                           
     1 Soil_and_Water_District_Commissioner W/I_>REPUBLICAN                    
     1 Soil_and_Water_District_Commissioner W/I_ANDY_WARRNER                   
     1 Soil_and_Water_District_Commissioner W/I_CHRIS_MOORE                    
     1 Soil_and_Water_District_Commissioner W/I_JAMILA_DAVIS                   
     1 Soil_and_Water_District_Commissioner W/I_JOE_CLARK                      
     1 Soil_and_Water_District_Commissioner W/I_JOHN_KENNEDY                   
     1 Soil_and_Water_District_Commissioner W/I_JOSEPH_CADE                    
     1 Soil_and_Water_District_Commissioner W/I_LINDA_FLOYD                    
     1 Soil_and_Water_District_Commissioner W/I_LUKE_EDWARD_SEIGLER            
     1 Soil_and_Water_District_Commissioner W/I_LUKE_SEIGLER                   
     1 Soil_and_Water_District_Commissioner W/I_ME                             
     1 Soil_and_Water_District_Commissioner W/I_OSCAR_NEW                      
     1 Soil_and_Water_District_Commissioner W/I_REPUBLICAN                     
     1 Soil_and_Water_District_Commissioner W/I_TIFFABY_PAYBE                  

  1866 State_Superintendent_of_Education   Israel_Romero                      
  2330 State_Superintendent_of_Education   Molly_Mitchell_Spearman            
     1 State_Superintendent_of_Education   W/I_DR._MICHELE_PHILLIPS           
     1 State_Superintendent_of_Education   W/I_MICHELE_PHILLIPS               

  2226 State_Treasurer                     Curtis_Loftis                      
    51 State_Treasurer                     Rosalyn_Glenn                      
  1889 State_Treasurer                     Rosalyn_L_Glenn                    
    30 State_Treasurer                     Sarah_Work                         

    48 TAX0001_MODOC_FIRE_PROTECTION_DISTRICT No,_Opposed_to_the_question        
   128 TAX0001_MODOC_FIRE_PROTECTION_DISTRICT Yes,_In_favor_of_the_question      
